,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Brock Lesnar,84,100,89,0,0,1
Andre Fili,56,54,83,55,19,6
Rafael Dos Anjos,69,58,82,46,59,2
Anthony Hamilton,78,98,91,21,26,6
Walt Harris,71,94,91,0,10,4
Cyrille Diabate,93,77,92,0,0,1
Dong Hyun Kim,76,64,87,6,4,6
Katlyn Chookagian,60,50,82,1,14,3
Alan Jouban,76,64,85,3,27,9
Rory MacDonald,58,64,85,9,30,5
Alex Nicholson,56,70,90,0,11,3
Brendan O'Reilly,63,64,82,22,8,4
Luke Rockhold,69,70,89,2,16,6
Cody Garbrandt,54,50,80,14,13,5
Anthony Smith,60,70,90,0,24,3
Paul Craig,63,77,90,2,20,2
Mike Rhodes,58,64,86,9,3,3
Cris Cyborg,67,52,80,0,1,2
Maximo Blanco,71,54,80,18,14,5
Jimy Hettes,63,54,82,5,1,2
Chad Laprise,65,58,83,15,30,6
Marco Beltran,65,50,80,0,2,2
Brandon Thatch,67,64,87,8,25,4
Chris Avila,52,54,83,1,13,2
Daniel Spohn,69,77,90,0,0,1
Lipeng Zhang,58,58,84,14,1,2
Christos Giagos,58,58,83,0,9,3
Roldan Sangcha-an,56,46,76,2,2,2
James Krause,65,58,87,21,23,5
Polo Reyes,69,58,84,0,14,2
Sam Stout,69,58,82,0,7,3
Joby Sanchez,54,46,78,1,6,3
Kajan Johnson,69,58,84,16,9,2
Jessica Andrade,54,43,75,37,28,7
Damian Grabowski,78,90,86,1,42,2
Aleksei Oleinik,84,90,87,10,0,2
Niko Price,58,64,85,5,19,2
Omari Akhmedov,63,64,85,22,15,6
Alessandro Ricci,73,58,84,2,33,2
Ivan Jorge,78,58,82,13,6,2
Carla Esparza,63,43,72,46,8,4
Kelvin Gastelum,54,70,82,15,19,9
Will Brooks,65,58,83,19,44,3
Glaico Franca Moreira,56,58,85,0,0,1
John Lineker,56,50,75,11,47,8
Cynthia Calvillo,63,43,76,1,5,2
Eddie Alvarez,71,58,82,51,30,5
Fabio Maldonado,80,77,86,0,9,4
Kailin Curran,54,43,76,10,11,4
Daniel Kelly,84,70,85,33,4,4
Zach Makovsky,71,46,76,39,18,4
Nico Musoke,65,64,85,23,12,4
Naoyuki Kotani,76,58,80,14,3,3
Dongi Yang,69,70,84,0,0,1
Joe Merritt,71,64,85,0,2,1
Damir Hadzovic,65,58,84,0,0,1
Alexa Grasso,50,43,77,2,10,2
Magomed Bibulatov,60,46,77,0,4,1
Igor Araujo,78,64,86,12,4,3
James Te Huna,76,70,87,1,1,2
George Sullivan,78,64,85,44,22,5
Costas Philippou,80,70,84,0,4,3
Michinori Tanaka,56,50,77,35,3,5
Tecia Torres,58,43,72,29,30,5
Henry Cejudo,65,46,76,44,43,6
Charlie Brenneman,78,58,83,6,2,3
Michael Johnson,65,58,83,12,27,6
Jordan Rinaldi,63,58,83,0,5,1
Diego Sanchez,76,58,83,0,0,2
Anthony Birchak,65,50,80,5,11,4
Takeya Mizugaki,71,50,79,9,7,6
Nik Lentz,69,58,80,49,21,4
Ben Wall,58,58,83,0,0,1
Dennis Bermudez,65,54,78,71,17,7
Ashley Yoder,63,43,79,0,13,1
Nick Diaz,71,70,85,0,0,1
Luke Zachrich,76,70,87,0,0,2
Levan Makashvili,60,54,80,33,10,3
Mats Nilsson,71,64,86,0,1,2
Humberto Brown,69,54,83,0,0,1
Yao Zhikui,56,46,77,5,1,3
Justin Salas,76,58,80,15,2,3
Felice Herrig,69,43,76,2,7,3
Pawel Pawlak,60,64,85,3,3,3
Alex Morono,56,64,84,2,16,3
Matt Schnell,58,50,80,0,9,1
Scott Askham,60,70,89,8,14,5
Nam Phan,73,50,78,0,0,1
Marlon Vera,52,50,80,11,16,4
Tony Ferguson,71,58,84,11,24,8
Jose Quinonez,56,50,80,9,5,3
Bethe Correia,71,50,77,2,22,6
Veronica Macedo,45,50,76,0,4,1
Ben Rothwell,76,100,90,0,7,2
Jason High,76,58,80,0,9,1
Bobby Voelker,80,64,85,0,0,1
Olivier Aubin-Mercier,60,58,82,80,24,7
Daniel Pineda,67,54,79,0,0,1
Dan Henderson,100,70,84,7,10,7
Sabah Homasi,60,64,85,0,100,1
Hatsu Hioki,71,54,84,8,8,2
Willie Gates,65,46,80,0,23,4
Charles Oliveira,58,54,83,44,31,7
Francisco Rivera,76,50,80,11,6,6
Ali Bagautinov,67,46,76,61,30,5
Leonardo Mafra,58,58,83,5,6,3
Mirko Cro Cop,91,82,87,0,6,1
Taylor Lapilus,52,50,78,8,13,4
Dmitrii Smoliakov,69,95,87,1,1,2
Yves Jabouin,80,50,79,12,23,4
Cole Miller,69,54,86,5,26,5
Jessamyn Duke,65,50,84,11,14,3
Marcio Alexandre,58,64,85,0,0,1
Tom Breese,54,64,89,0,18,3
